Date,Time,Process,Head,Last Hour,Avg Last Hour,Value,Diff,Barcode
2024_07_24,09:28:17,Oil Low duration,2,11:00,5.8481,5.241, 0.6071,24723058690101
2024_07_24,12:28:44,Oil Low duration,1,11:00,5.8676,5.899, 0.0314,24723113350101
2024_07_24,12:28:44,Oil Low duration,1,11:00,5.8676,5.899, 0.0314,24723113350101
2024_07_24,12:28:50,Oil Low duration,2,11:00,5.8481,6.228, 0.3799,24723113440101
2024_07_24,12:37:25,Oil Low duration,1,11:00,5.8676,5.911, 0.0434,24723112080101
2024_07_24,12:37:25,Oil Low duration,1,11:00,5.8676,5.911, 0.0434,24723112080101
2024_07_24,12:37:32,Oil Low duration,2,11:00,5.8481,6.270, 0.4219,24723112030101
2024_07_24,12:40:27,Oil Low duration,1,11:00,5.8676,5.991, 0.1234,24723112740101
2024_07_24,12:40:27,Oil Low duration,1,11:00,5.8676,5.991, 0.1234,24723112740101
2024_07_24,12:40:34,Oil Low duration,2,11:00,5.8481,6.063, 0.2149,24723112360101
2024_07_24,12:43:27,Oil Low duration,1,11:00,5.8676,5.986, 0.1184,24723111180101
2024_07_24,12:43:27,Oil Low duration,1,11:00,5.8676,5.986, 0.1184,24723111180101
2024_07_24,12:43:34,Oil Low duration,2,11:00,5.8481,5.918, 0.0699,24723111210101
2024_07_24,12:46:26,Oil Low duration,1,11:00,5.8676,5.982, 0.1144,24723111010101
2024_07_24,12:46:26,Oil Low duration,1,11:00,5.8676,5.982, 0.1144,24723111010101
2024_07_24,12:46:33,Oil Low duration,2,11:00,5.8481,5.973, 0.1249,24723111040101
2024_07_24,12:49:39,Oil Low duration,1,11:00,5.8676,5.964, 0.0964,24723120530101
2024_07_24,12:49:39,Oil Low duration,1,11:00,5.8676,5.964, 0.0964,24723120530101
2024_07_24,12:49:32,Oil Low duration,2,11:00,5.8481,5.996, 0.1479,24723120590101
2024_07_24,12:52:37,Oil Low duration,1,11:00,5.8676,5.975, 0.1074,24723120800101
2024_07_24,12:52:37,Oil Low duration,1,11:00,5.8676,5.975, 0.1074,24723120800101
2024_07_24,12:52:30,Oil Low duration,2,11:00,5.8481,6.029, 0.1809,24723120650101
2024_07_24,12:55:40,Oil Low duration,1,11:00,5.8676,5.993, 0.1254,24723121390101
2024_07_24,12:55:40,Oil Low duration,1,11:00,5.8676,5.993, 0.1254,24723121390101
2024_07_24,12:55:33,Oil Low duration,2,11:00,5.8481,6.242, 0.3939,24723121320101
2024_07_24,12:58:40,Oil Low duration,1,12:00,5.9325,5.964, 0.0315,24723120990101
2024_07_24,12:58:40,Oil Low duration,1,12:00,5.9325,5.964, 0.0315,24723120990101
2024_07_24,12:58:33,Oil Low duration,2,12:00,6.2132,6.328, 0.1148,24723121330101
2024_07_24,13:01:39,Oil Low duration,1,12:00,5.9325,5.955, 0.0225,24723119390101
2024_07_24,13:01:39,Oil Low duration,1,12:00,5.9325,5.955, 0.0225,24723119390101
2024_07_24,13:01:32,Oil Low duration,2,12:00,6.2132,6.098, 0.1152,24723119270101
2024_07_24,13:04:42,Oil Low duration,1,12:00,5.9325,5.969, 0.0365,24723119140101
2024_07_24,13:04:42,Oil Low duration,1,12:00,5.9325,5.969, 0.0365,24723119140101
2024_07_24,13:04:34,Oil Low duration,2,12:00,6.2132,6.552, 0.3388,24723119420101
2024_07_24,13:07:40,Oil Low duration,1,12:00,5.9325,5.963, 0.0305,24723119600101
2024_07_24,13:07:40,Oil Low duration,1,12:00,5.9325,5.963, 0.0305,24723119600101
2024_07_24,13:07:46,Oil Low duration,2,12:00,6.2132,6.480, 0.2668,24723119670101
2024_07_24,13:10:43,Oil Low duration,1,12:00,5.9325,5.964, 0.0315,24723119740101
2024_07_24,13:10:43,Oil Low duration,1,12:00,5.9325,5.964, 0.0315,24723119740101
2024_07_24,13:10:50,Oil Low duration,2,12:00,6.2132,6.566, 0.3528,24723119870101
2024_07_24,14:08:38,Oil Low duration,2,13:00,6.7691,7.075, 0.3059,24723116800101
2024_07_24,15:17:54,Oil Low duration,2,14:00,6.9823,7.308, 0.3257,24723098390101
