Date,Time,Process,Head,Last Hour,Avg Last Hour,Value,Diff,Barcode
2024_07_24,12:10:13,Oil Up duration,1,11:00,5.1665,5.483, 0.3165,24723115650101
2024_07_24,12:28:50,Oil Up duration,1,11:00,5.1665,5.368, 0.2015,24723113440101
2024_07_24,12:28:50,Oil Up duration,1,11:00,5.1665,5.368, 0.2015,24723113440101
2024_07_24,12:28:44,Oil Up duration,2,11:00,5.2082,5.393, 0.1848,24723113350101
2024_07_24,12:37:32,Oil Up duration,1,11:00,5.1665,5.380, 0.2135,24723112030101
2024_07_24,12:37:32,Oil Up duration,1,11:00,5.1665,5.380, 0.2135,24723112030101
2024_07_24,12:37:25,Oil Up duration,2,11:00,5.2082,5.732, 0.5238,24723112080101
2024_07_24,12:40:34,Oil Up duration,1,11:00,5.1665,5.396, 0.2295,24723112360101
2024_07_24,12:40:34,Oil Up duration,1,11:00,5.1665,5.396, 0.2295,24723112360101
2024_07_24,12:40:27,Oil Up duration,2,11:00,5.2082,5.764, 0.5558,24723112740101
2024_07_24,12:43:34,Oil Up duration,1,11:00,5.1665,5.381, 0.2145,24723111210101
2024_07_24,12:43:34,Oil Up duration,1,11:00,5.1665,5.381, 0.2145,24723111210101
2024_07_24,12:43:27,Oil Up duration,2,11:00,5.2082,5.767, 0.5588,24723111180101
2024_07_24,12:46:33,Oil Up duration,1,11:00,5.1665,5.377, 0.2105,24723111040101
2024_07_24,12:46:33,Oil Up duration,1,11:00,5.1665,5.377, 0.2105,24723111040101
2024_07_24,12:46:26,Oil Up duration,2,11:00,5.2082,5.799, 0.5908,24723111010101
2024_07_24,12:49:32,Oil Up duration,1,11:00,5.1665,5.386, 0.2195,24723120590101
2024_07_24,12:49:32,Oil Up duration,1,11:00,5.1665,5.386, 0.2195,24723120590101
2024_07_24,12:49:39,Oil Up duration,2,11:00,5.2082,5.581, 0.3728,24723120530101
2024_07_24,12:52:30,Oil Up duration,1,11:00,5.1665,5.405, 0.2385,24723120650101
2024_07_24,12:52:30,Oil Up duration,1,11:00,5.1665,5.405, 0.2385,24723120650101
2024_07_24,12:52:37,Oil Up duration,2,11:00,5.2082,5.585, 0.3768,24723120800101
2024_07_24,12:55:33,Oil Up duration,1,11:00,5.1665,5.405, 0.2385,24723121320101
2024_07_24,12:55:33,Oil Up duration,1,11:00,5.1665,5.405, 0.2385,24723121320101
2024_07_24,12:55:40,Oil Up duration,2,11:00,5.2082,5.590, 0.3818,24723121390101
2024_07_24,12:58:33,Oil Up duration,1,12:00,5.3596,5.394, 0.0344,24723121330101
2024_07_24,12:58:33,Oil Up duration,1,12:00,5.3596,5.394, 0.0344,24723121330101
2024_07_24,12:58:40,Oil Up duration,2,12:00,5.4610,5.584, 0.1230,24723120990101
2024_07_24,13:01:32,Oil Up duration,1,12:00,5.3596,5.398, 0.0384,24723119270101
2024_07_24,13:01:32,Oil Up duration,1,12:00,5.3596,5.398, 0.0384,24723119270101
2024_07_24,13:01:39,Oil Up duration,2,12:00,5.4610,5.260, 0.2010,24723119390101
2024_07_24,13:04:34,Oil Up duration,1,12:00,5.3596,5.410, 0.0504,24723119420101
2024_07_24,13:04:34,Oil Up duration,1,12:00,5.3596,5.410, 0.0504,24723119420101
2024_07_24,13:04:42,Oil Up duration,2,12:00,5.4610,5.260, 0.2010,24723119140101
2024_07_24,13:07:46,Oil Up duration,1,12:00,5.3596,5.456, 0.0964,24723119670101
2024_07_24,13:07:46,Oil Up duration,1,12:00,5.3596,5.456, 0.0964,24723119670101
2024_07_24,13:07:40,Oil Up duration,2,12:00,5.4610,5.267, 0.1940,24723119600101
2024_07_24,13:10:50,Oil Up duration,1,12:00,5.3596,5.410, 0.0504,24723119870101
2024_07_24,13:10:50,Oil Up duration,1,12:00,5.3596,5.410, 0.0504,24723119870101
2024_07_24,13:10:43,Oil Up duration,2,12:00,5.4610,5.267, 0.1940,24723119740101
