$C$ FCC auto line data save
$C$ Version 1,2,7M UDP
$C$ Modify Time interval calculation
$H1$ Machine_ID;Barcode;Date;Time;Load cone tray number;Load cone tray position;Oil-Lub Amount;Oil-Lub Visual check;Axial Play Press Number;Axial Play;IPA-Flush Duration;IPA-Flush Visual Check;Galling Dent Visual Check;INT number;INT Cone Duration;INT Cone Visual Check;Oil Up number;Oil Up Amount;Oil Up duration;Oil Up Visual Check;Endcap Up tray number;Endcap Up tray position;Oil Low number;Oil Low Amount;Oil Low duration;Oil Low Visual Check;Endcap Low tray number;Endcap Low tray position;Unload Cycle Time;Failure Code;NG Carrier;Time interval
$H2$ Units;;;;;;mg;;;um;sec;;;;sec;;;mg;sec;;;;;mg;sec;;;;sec;;;sec
$H3$ Spec min;;;;1;1;0.6;;1;12;;;;1;;;1;7.74;;;1;1;1;7.74;;;1;1;;;
$H4$ Spec max;;;;2;200;0.8;;3;16;;;;2;;;2;8.54;;;2;200;2;8.54;;;2;200;;;
3;24X22229040101;2024-10-24;07:29:47;1;80;.39;2;1;13.3;1.50;2;2;2;1.20;2;2;8.15;3.653;3;2;136;1;8.11;5.167;3;2;132;6.80;;C77;6.80
3;24X22229070101;2024-10-24;07:29:54;1;81;.47;2;2;13.3;1.50;2;2;1;1.00;2;1;8.14;4.547;3;2;137;2;8.12;4.776;3;2;133;3.19;;C76;6.4
3;24X22229080101;2024-10-24;07:30:00;1;82;.48;2;3;14.4;1.50;2;2;2;1.20;2;2;8.17;3.650;3;2;138;1;8.11;5.175;3;2;134;6.38;;C75;6.4
3;24X22229110101;2024-10-24;07:30:06;1;83;.48;2;1;14.3;1.50;2;2;1;1.00;2;1;8.13;4.531;3;2;139;2;8.12;4.712;3;2;135;6.41;;C74;6.3
3;24X22229120101;2024-10-24;07:30:13;1;84;.47;2;2;13.9;1.50;2;2;2;1.20;2;2;8.16;3.637;3;2;140;1;8.11;5.169;3;2;136;6.28;;C73;6.6
3;24X22229030101;2024-10-24;07:30:19;1;85;.48;2;3;14.4;1.50;2;2;1;1.00;2;1;8.13;4.513;3;2;141;2;8.12;4.711;3;2;137;6.58;;C71;6.4
3;24X22229060101;2024-10-24;07:30:26;1;86;.48;2;1;13.5;1.50;2;2;2;1.20;2;2;8.17;3.647;3;2;142;1;8.11;5.169;3;2;138;6.41;;C105;6.5
3;24X22229090101;2024-10-24;07:30:33;1;87;.47;2;2;13.1;1.50;2;2;1;1.00;2;1;8.13;4.521;3;2;143;2;8.12;4.698;3;2;139;6.47;;C104;6.9
3;24X22229020101;2024-10-24;07:30:39;1;88;.47;2;3;14.4;1.50;2;2;2;1.20;2;2;8.17;3.637;3;2;144;1;8.12;5.167;3;2;140;6.93;;C103;6.6
