KPIV_left,KPOV_left,sup_left,conf_left,len_left,id,KPIV_right,KPOV_right,sup_right,conf_right,len_right
"Set_Dim_C=1,Set_Dim_A=1,Datum_probe=2,Max_force=-3",Projection1=pass,0.04 conf: 1.00 len: 5,1.00 len: 5,5,74,"Set_Dim_C=1,Set_Dim_A=1,Datum_probe=2,Max_force=-3",Projection1=pass,0.04 conf: 1.00 len: 5,1.00 len: 5,5
"Max_force=-2,Set_Dim_B=-2,Set_Dim_C=2",Projection1=fail,0.04 conf: 1.00 len: 4,1.00 len: 4,4,44,"Max_force=-2,Set_Dim_B=-2,Set_Dim_C=2",Projection1=fail,0.04 conf: 1.00 len: 4,1.00 len: 4,4
"Set_Dim_B=-2,Set_Dim_C=2",Projection1=fail,0.07 conf: 0.99 len: 3,0.99 len: 3,3,46,"Set_Dim_B=-2,Set_Dim_C=2",Projection1=fail,0.07 conf: 0.99 len: 3,0.99 len: 3,3
"Set_Dim_C=1,Set_Dim_B=-1,Max_force=-3",Projection1=pass,0.04 conf: 0.99 len: 4,0.99 len: 4,4,65,"Set_Dim_C=1,Set_Dim_B=-1,Max_force=-3",Projection1=pass,0.04 conf: 0.99 len: 4,0.99 len: 4,4
"Set_Dim_C=1,Max_force=-3,Set_Dim_B=1",Projection1=pass,0.04 conf: 0.99 len: 4,0.99 len: 4,4,32,"Set_Dim_C=1,Max_force=-3,Set_Dim_B=1",Projection1=pass,0.04 conf: 0.99 len: 4,0.99 len: 4,4
"Set_Dim_C=3,Set_Dim_B=1",Projection1=fail,0.04 conf: 0.98 len: 3,0.98 len: 3,3,4,"Set_Dim_C=3,Set_Dim_B=1",Projection1=fail,0.04 conf: 0.98 len: 3,0.98 len: 3,3
"Set_Dim_C=1,Datum_probe=2,Max_force=-3",Projection1=pass,0.07 conf: 0.98 len: 4,0.98 len: 4,4,77,"Set_Dim_C=1,Datum_probe=2,Max_force=-3",Projection1=pass,0.07 conf: 0.98 len: 4,0.98 len: 4,4
"Set_Dim_C=1,Set_Dim_A=1,Datum_probe=2,Diecast_Pivot_2=-1",Projection1=pass,0.04 conf: 0.98 len: 5,0.98 len: 5,5,79,"Set_Dim_C=1,Set_Dim_A=1,Datum_probe=2,Diecast_Pivot_2=-1",Projection1=pass,0.04 conf: 0.98 len: 5,0.98 len: 5,5
"Set_Dim_B=-1,Set_Dim_A=1,Datum_probe=2,Set_Dim_C=1",Projection1=pass,0.04 conf: 0.98 len: 5,0.98 len: 5,5,66,"Set_Dim_B=-1,Set_Dim_A=1,Datum_probe=2,Set_Dim_C=1",Projection1=pass,0.04 conf: 0.98 len: 5,0.98 len: 5,5
"Set_Dim_C=1,Datum_probe=2,Set_Dim_B=1",Projection1=pass,0.07 conf: 0.98 len: 4,0.98 len: 4,4,34,"Set_Dim_C=1,Datum_probe=2,Set_Dim_B=1",Projection1=pass,0.07 conf: 0.98 len: 4,0.98 len: 4,4
Set_Dim_C=-4,Projection1=fail,0.05 conf: 0.98 len: 2,0.98 len: 2,2,1,Set_Dim_C=-4,Projection1=fail,0.05 conf: 0.98 len: 2,0.98 len: 2,2
"Set_Dim_B=-1,Set_Dim_A=1,Set_Dim_C=1",Projection1=pass,0.06 conf: 0.98 len: 4,0.98 len: 4,4,67,"Set_Dim_B=-1,Set_Dim_A=1,Set_Dim_C=1",Projection1=pass,0.06 conf: 0.98 len: 4,0.98 len: 4,4
